prompt,completion
"Well, the thing that makes Nashville unique is the location of Bridgestone Arena - right in downtown in the middle of everything, next to Broadway where all the neon lights are, all the restaurants, everything. So imagine yourself walking down the street. You see these neon lights. You smell barbecue. You smell all these great foods coming (inaudible). You hear live music as you're walking into the arena. So just that alone helps paint the picture of how you can get excited go into this game. And then after the game, what makes it different, too, you're right there on the streets - all the bars, all the honky-tonks, all the live music, restaurants. During the game, intermissions - it's not just advertisements playing on a Megatron. You have live music. So you have guys like Charles Esten from Nashville playing live music there. Sometimes you'll have people from different major bands, as well. You have country music stars singing the national anthem. It is a totally unique experience in every single way.","As we said, Nashville's only had an NHL team for 18 years. Was it an easy transfer to move all the enthusiasm for all the other sports that Tennessee has to hockey or has it been an evolution over time?"
"This, until the completion of the investigation of the unfortunate event yesterday in Qana.","Although then, that sounds like no suspension at all, because has the air campaign so far not been about getting to Hezbollah? Surely you're not intentionally targeting civilians, so what's the difference?"
"Well, if you read Ted Turner's vision--and he's now really no longer involved in the running of CNN--but if you read what he had to say back when it was launched, he sort of described it as a newspaper of the air. He said, `You know, broadcast networks are really too much like headline wire service copy.' In a sense, that's what much of the time cable news functions as. They give you brief bursts of updates. In fact, MSNBC now every 15 minutes gives you an update of the news. And in between they're trying to figure out ways to keep you watching. So they'll do reported pieces. They'll do a lot of interviews. There are a lot of talk shows. And to be honest, there's a lot of things that we would classify as kind of pulpy, quasi-tabloid, quasi-celebrity news; anything that's sort of waiting for the next great crisis. And when crisis hits, people turn to cable, they particularly turn to CNN. And when crisis abates, they kind of tune it out. They don't need it as much.","What do you think, then, that cable news has contributed to journalism?"
And they don't.,"One final thing. You have spoken favorably of Donald Trump, who has said that he believes a lot of other politicians are bought and paid for and further says that, as a billionaire, as he says he is, that he bought and paid for a lot of them. Is he right?"
Good.,"There are obvious perils with Elizabeth Gilbert's ""Eat Pray Love."" The circumstances are kind of similar, obviously, with the divorce and - but she took a trip around the world and you write: I just moved off the porch and went again to church. And you do go to church, even when you absolutely don't want to. Why'd you do it?"
"Well, it's actually very significant. The Hispanic vote in Florida in a primary can be 10 to 12 percent of that vote. And as we saw in the 2004 Republican primary when Mel Martinez won the nomination, a very high turn-out in Miami-Dade where the vote moved in a large direction towards one candidate, it can be very telling and very important to building a vote margin.","Well, you've been a consultant to candidates in Florida. So, I want you to give away a little bit of it for free right now. If you were consulting with Mitt Romney or Newt Gingrich and you had a simple message to convey to each of them, what would it be?"
"Well, you know, officials say that Rahman was killed last week in Waziristan, Pakistan in this CIA drone strike, and they seem fairly confident that they got him. That said, you know, there are often reports about drone strikes against core al-Qaida leaders and then these guys end up surfacing later. And in fact, that actually happened to Rahman last year. They said he was dead and clearly he wasn't. And he was reported killed this time in a very remote part of Pakistan. So, it's unclear how the U.S. can be so sure they got him. The officials we spoke to seemed pretty confident but they wouldn't say whether they had DNA evidence or something more dispositive like that. Usually, the way we find out definitively is al-Qaida announces it, and that hasn't happened yet.","So, if they do have him or if they did kill him, what does it mean for al-Qaida?"
"That's exactly right. There's deep fear about this crisis spreading to Italy and expanding further. There are reports this morning, Renee, that Italy has agreed to let the International Monetary Fund monitor its economic reform efforts. Italy's prime minister, Silvio Berlusconi, has been under intense pressure to move very quickly on really a broad series of reforms, including very controversial issues, such as privatizing state-run Italian companies, radically reforming the government pension system, labor market changes to make it easier to fire workers. You know, these are all measures that are deeply unpopular at home. And Berlusconi, like his Greek colleague, is under mounting pressure to step down and hand power to an emergency government. Italy's government is in crisis. And really the whole issue of expanding the eurozone's rescue firewall is to try to better protect against the possibility that Italy's troubles will only get worse in coming months.",The G-20 meeting wraps up today. What will world leaders there have to show for it?
"Basically, she prayed for the university. She prayed for the students' continued success. She prayed over the losses that we've all experienced. And she prayed basically just for the preservation of our university and for our students to continue to do well.","Regina, what did you do in the months that you couldn't go back to Xavier after Katrina hit?"
Thank you.,"So the Saudi crown has typically been passed from one elderly brother to another elderly brother, all sons of the country's founder. Now they're going to the grandsons of the founder. What do we know about the new heirs apparent?"
"Good, thanks.","Why do you want to capture light and delay it sort of in a bottle, in a crystal bottle, for lack of a better term, for, like, a second or more?"
"Well, I'm fine, of course, it's an awkward position to expect philosophy to answer a question once and for all. I mean if we could answer questions once for all, we would be out of business once we turn the answers in. If I'm to be guide toward good decision making, I fear that many will be, not only frustrated at the end, but confirmed in their suspicion that philosophy's limits are nerve racking.","Well, we'll take that risk today and ask you where you might start when you're picking say, a philosopher to start with. Which ones of those might we go to for moral decisions?"
